title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
"3 BHK Apartment for Rent in Mather Apartment, Kakkanad Kochi",37000,Furnished,4,Bachelors,2050,Apartment,3,Kakkanad,14,23
"2 BHK Apartment for Rent in Tulsi Nest, Edappally Kochi",28000,Furnished,2,Bachelors,900,Apartment,2,Edappally,3,10
3 BHK Apartment for Rent in SRM Road Kochi,14000,Semi-Furnished,3,Family,1000,Apartment,3,Road,0,3
2 BHK House for Rent in Edappally Kochi,25000,Semi-Furnished,2,Bachelors,700,House,2,Edappally,1,2
3 BHK House for Rent in Vyttila Kochi,28000,Furnished,3,Bachelors/Family,,House,3,Vyttila,1,2
1 BHK House for Rent in Kakkanad Kochi,5000,Furnished,2,Bachelors/Family,,House,1,Kakkanad,,
"3 BHK Apartment for Rent in Puravankra Moonreach, Kakkanad Kochi",32000,Semi-Furnished,4,Bachelors/Family,,Apartment,3,Kakkanad,6,20
2 BHK House for Rent in Edappally Kochi,28000,Furnished,2,Bachelors/Family,,House,2,Edappally,,
2 BHK Villa for Rent in Thoppumpady Kochi,14850,Semi-Furnished,2,Bachelors/Family,1000,Villa,2,Thoppumpady,,
3 BHK House for Rent in Chalikkavattom Kochi,28000,Unfurnished,3,Bachelors,1700,House,3,Chalikkavattom,1,1
1 BHK Apartment for Rent in Mundamveli Kochi,7500,Semi-Furnished,1,Bachelors,,Apartment,1,Mundamveli,1,2
"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000,Semi-Furnished,4,Bachelors/Family,,Villa,3,Kakkanad,,
2 BHK Apartment for Rent in Kochi,27000,Unfurnished,2,Bachelors/Family,1200,Apartment,2,in,7,12
"3 BHK Apartment for Rent in Olive Courtyard, Kakkanad Kochi",35000,Furnished,3,Bachelors/Family,1500,Apartment,3,Kakkanad,10,14
"3 BHK Apartment for Rent in Confident Pride, Edappally Kochi",32000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Edappally,9,19
1 BHK Apartment for Rent in Edappally Kochi,12000,Unfurnished,1,Bachelors/Family,,Apartment,1,Edappally,2,2
"4 BHK Villa for Rent in Olive Courtyard, Kakkanad Kochi",40000,Semi-Furnished,5,Family,,Villa,4,Kakkanad,,
Studio Apartment for Rent in Gandhinagar Kochi,5500,Furnished,1,Bachelors/Family,200,Apartment,S,Gandhinagar,2,3
