Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
24-Oct-18	10278.15	10290.65	10126.7	10224.75	362272428	19413.24	18.88	0.05	10208.675	1.901641496
25-Oct-18	10135.05	10166.6	10079.3	10124.9	522421914	23503.76	18.9625	0.05	10122.95	2.321829111
26-Oct-18	10122.35	10128.85	10004.55	10030	375563273	16120.14	19.2325	0.05	10066.7	1.601333108
29-Oct-18	10078.1	10275.3	10020.35	10250.85	375749433	17514.85	19.825	0.05	10147.825	1.725970836
30-Oct-18	10239.4	10285.1	10175.35	10198.4	298753965	14789.51	20.5025	0.05	10230.225	1.445668106
31-Oct-18	10209.55	10396	10105.1	10386.6	386618948	21513.85	19.7975	0.05	10250.55	2.098799577
01-Nov-18	10441.7	10441.9	10341.9	10380.45	359340403	18111.88	19.1925	0.05	10391.9	1.742884362
02-Nov-18	10462.3	10606.95	10457.7	10553	434175607	21758.8	18.23	0.05	10532.325	2.065906626
05-Nov-18	10558.75	10558.8	10477	10524	311176379	14761.17	19.4825	0.05	10517.9	1.403433195
06-Nov-18	10552	10600.25	10491.45	10530	309878810	14006.19	18.505	0.05	10545.85	1.328123385
07-Nov-18	10614.45	10616.45	10582.3	10598.4	32194181	1534.08	17.8775	0.05	10599.375	0.144733062
09-Nov-18	10614.7	10619.55	10544.85	10585.2	305817331	15294.83	17.765	0.05	10582.2	1.445335563
12-Nov-18	10607.8	10645.5	10464.05	10482.2	267710127	13445.33	19.3675	0.05	10554.775	1.273862304
13-Nov-18	10451.9	10596.25	10440.55	10582.5	262541595	13078.98	18.695	0.05	10518.4	1.243438166
14-Nov-18	10634.9	10651.6	10532.7	10576.3	396373781	19374.89	18.825	0.05	10592.15	1.829174436
15-Nov-18	10580.6	10646.5	10557.5	10616.7	306011926	14937.67	18.455	0.05	10602	1.408948312
16-Nov-18	10644	10695.15	10631.15	10682.2	353384918	16728.88	18.35	0.05	10663.15	1.56884973
19-Nov-18	10731.25	10774.7	10688.8	10763.4	280522364	13540.9	19.255	0.05	10731.75	1.261760663
20-Nov-18	10740.1	10740.85	10640.85	10656.2	304322623	13077.24	19.3275	0.05	10690.85	1.223217985
21-Nov-18	10670.95	10671.3	10562.35	10600.05	310191008	15382.32	19.555	0.05	10616.825	1.448862537
22-Nov-18	10612.65	10646.25	10512	10526.75	246926671	12254.36	19.16	0.05	10579.125	1.158352888
26-Nov-18	10568.3	10637.8	10489.75	10628.6	332863041	15927.25	20.4025	0.05	10563.775	1.507723328
27-Nov-18	10621.45	10695.15	10596.35	10685.6	382834178	17296.28	18.315	0.05	10645.75	1.624712209
28-Nov-18	10708.75	10757.8	10699.85	10728.85	437627174	17737.28	17.96	0.05	10728.825	1.653236025
29-Nov-18	10808.7	10883.05	10782.35	10858.7	712650890	26283.43	18.6975	0.05	10832.7	2.426304615
30-Nov-18	10892.1	10922.45	10835.1	10876.75	467857329	19964.33	19.1625	0.05	10878.775	1.835163426
03-Dec-18	10930.7	10941.2	10845.35	10883.75	422358631	18484.91	18.2225	0.05	10893.275	1.69691025
04-Dec-18	10877.1	10890.95	10833.35	10869.5	332137359	15857.16	18.1075	0.05	10862.15	1.459854633
05-Dec-18	10820.45	10821.05	10747.95	10782.9	322019985	15176.26	18.39	0.05	10784.5	1.407228893
06-Dec-18	10718.15	10722.65	10588.25	10601.15	328275196	16488.87	19.305	0.05	10655.45	1.547458812
07-Dec-18	10644.8	10704.55	10599.35	10693.7	335849636	18597.83	18.59	0.05	10651.95	1.745955435
10-Dec-18	10508.7	10558.85	10474.95	10488.45	393097292	16524.36	20.4375	0.05	10516.9	1.571219656
11-Dec-18	10350.05	10567.15	10333.85	10549.15	438699334	20112.91	17.945	0.05	10450.5	1.924588297
